goos: linux
goarch: amd64
pkg: github.com/fredbi/core/json/benchmarks/lexers
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkLexers/ints/default-lexer/bytes-16         	    2124	    516740 ns/op	 507.32 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2343	    508907 ns/op	 515.13 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2269	    536483 ns/op	 488.65 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2191	    511902 ns/op	 512.11 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2304	    529061 ns/op	 495.50 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2206	    515634 ns/op	 508.41 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2256	    530889 ns/op	 493.80 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2276	    514012 ns/op	 510.01 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    1989	    517266 ns/op	 506.80 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2398	    545641 ns/op	 480.45 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2300	    513364 ns/op	 510.65 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2389	    514253 ns/op	 509.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2299	    518573 ns/op	 505.53 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2372	    507818 ns/op	 516.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2239	    519010 ns/op	 505.10 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2328	    507188 ns/op	 516.87 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2368	    508503 ns/op	 515.54 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2332	    516117 ns/op	 507.93 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2272	    510572 ns/op	 513.45 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2334	    513916 ns/op	 510.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2456	    491259 ns/op	 533.63 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2275	    489505 ns/op	 535.54 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2434	    485473 ns/op	 539.99 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2516	    495221 ns/op	 529.36 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2425	    491497 ns/op	 533.38 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2416	    495671 ns/op	 528.88 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2520	    490065 ns/op	 534.93 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2455	    493554 ns/op	 531.15 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2383	    500571 ns/op	 523.71 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2479	    493847 ns/op	 530.84 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    3054	    421195 ns/op	 622.40 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2492	    401694 ns/op	 652.62 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    3046	    390236 ns/op	 671.78 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    3033	    407431 ns/op	 643.43 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2925	    395128 ns/op	 663.46 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2828	    400766 ns/op	 654.13 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2647	    390744 ns/op	 670.90 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    3012	    398278 ns/op	 658.21 MB/s	     328 B/op	       2 allocs/op
