goos: linux
goarch: amd64
pkg: github.com/fredbi/core/json/benchmarks/lexers
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkLexers/ints/default-lexer/bytes-16         	    2235	    511486 ns/op	 512.53 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2266	    514605 ns/op	 509.42 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2434	    532803 ns/op	 492.02 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2311	    516413 ns/op	 507.64 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2148	    535545 ns/op	 489.51 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2352	    517350 ns/op	 506.72 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2383	    520892 ns/op	 503.27 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2350	    511929 ns/op	 512.09 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    1964	    514660 ns/op	 509.37 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2331	    517171 ns/op	 506.90 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2335	    520644 ns/op	 503.51 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2366	    507151 ns/op	 516.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2301	    514493 ns/op	 509.53 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2307	    509741 ns/op	 514.28 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2326	    508668 ns/op	 515.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2317	    511429 ns/op	 512.59 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2398	    517752 ns/op	 506.33 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2419	    521081 ns/op	 503.09 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2350	    542053 ns/op	 483.63 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/pooled-16        	    2372	    515915 ns/op	 508.13 MB/s	       1 B/op	       0 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2419	    500494 ns/op	 523.79 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2377	    501855 ns/op	 522.37 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2245	    505762 ns/op	 518.33 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2173	    511097 ns/op	 512.92 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2392	    508308 ns/op	 515.74 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2337	    502453 ns/op	 521.74 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2400	    505681 ns/op	 518.41 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2322	    505246 ns/op	 518.86 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2415	    506712 ns/op	 517.36 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/lab/bytes-16                   	    2302	    521330 ns/op	 502.85 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2492	    452707 ns/op	 579.08 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2752	    437239 ns/op	 599.56 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2690	    435220 ns/op	 602.34 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2508	    440232 ns/op	 595.49 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2746	    464777 ns/op	 564.04 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2487	    466543 ns/op	 561.90 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2750	    436561 ns/op	 600.49 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2796	    423548 ns/op	 618.94 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2762	    438526 ns/op	 597.80 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2863	    436233 ns/op	 600.94 MB/s	     328 B/op	       2 allocs/op
