# Micro-benchmark baseline — go1.26.4, Ryzen 7 5800X, count=10
# reference (master 1ac8025 default-lexer) vs lab, bytes/tokens/reset
# captured 2026-06-27T11:42:48Z

goos: linux
goarch: amd64
pkg: github.com/fredbi/core/json/benchmarks/lexers
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkMicro/ints_pos/reference/bytes-16         	    2092	    533187 ns/op	 491.67 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/bytes-16         	    2187	    512164 ns/op	 511.85 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/bytes-16         	    2361	    511065 ns/op	 512.95 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/bytes-16         	    2424	    506509 ns/op	 517.57 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/bytes-16         	    2377	    513858 ns/op	 510.16 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/bytes-16         	    2182	    518635 ns/op	 505.47 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/bytes-16         	    2353	    506443 ns/op	 517.63 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/bytes-16         	    2388	    511741 ns/op	 512.28 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/bytes-16         	    2404	    506222 ns/op	 517.86 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/bytes-16         	    2378	    517276 ns/op	 506.79 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/bytes-16               	    2520	    490301 ns/op	 534.68 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/bytes-16               	    2498	    493092 ns/op	 531.65 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/bytes-16               	    2518	    486129 ns/op	 539.26 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/bytes-16               	    2473	    495209 ns/op	 529.38 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/bytes-16               	    2281	    485834 ns/op	 539.59 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/bytes-16               	    2412	    480841 ns/op	 545.19 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/bytes-16               	    2506	    489224 ns/op	 535.85 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/bytes-16               	    2182	    497552 ns/op	 526.88 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/bytes-16               	    2444	    487027 ns/op	 538.27 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/lab/bytes-16               	    2499	    498362 ns/op	 526.03 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/tokens-16        	    2972	    395560 ns/op	 662.74 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/tokens-16        	    3037	    394740 ns/op	 664.11 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/tokens-16        	    3040	    395094 ns/op	 663.52 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/tokens-16        	    3036	    399520 ns/op	 656.17 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/tokens-16        	    3025	    396418 ns/op	 661.30 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/tokens-16        	    3016	    398738 ns/op	 657.45 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/tokens-16        	    3091	    399288 ns/op	 656.55 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/tokens-16        	    2714	    401377 ns/op	 653.13 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/tokens-16        	    3072	    396112 ns/op	 661.81 MB/s	     328 B/op	       2 allocs/op
BenchmarkMicro/ints_pos/reference/tokens-16        	    3008	    393416 ns/op	 666.35 MB/s	     328 B/op	       2 allocs/op
