goos: linux
goarch: amd64
pkg: github.com/fredbi/core/json/benchmarks/lexers
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4417	    283447 ns/op	 924.88 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4402	    267999 ns/op	 978.19 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4396	    272919 ns/op	 960.55 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4382	    273767 ns/op	 957.58 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4465	    267708 ns/op	 979.25 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4377	    273695 ns/op	 957.83 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4316	    269147 ns/op	 974.01 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4497	    275019 ns/op	 953.22 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4336	    274510 ns/op	 954.98 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4467	    279780 ns/op	 937.00 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/pooled-16        	    4429	    280519 ns/op	 934.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/pooled-16        	    4384	    272468 ns/op	 962.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/pooled-16        	    4045	    274924 ns/op	 953.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/pooled-16        	    4346	    278968 ns/op	 939.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/pooled-16        	    4334	    270805 ns/op	 968.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/pooled-16        	    4410	    273382 ns/op	 958.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/pooled-16        	    4465	    277412 ns/op	 945.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/pooled-16        	    4370	    274563 ns/op	 954.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/pooled-16        	    4508	    279003 ns/op	 939.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/default-lexer/pooled-16        	    4468	    274094 ns/op	 956.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/strings_plain/lab/bytes-16                   	    4419	    270567 ns/op	 968.90 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/bytes-16                   	    4462	    269409 ns/op	 973.07 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/bytes-16                   	    4358	    274623 ns/op	 954.59 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/bytes-16                   	    4320	    275737 ns/op	 950.73 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/bytes-16                   	    4371	    276102 ns/op	 949.48 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/bytes-16                   	    4341	    271284 ns/op	 966.34 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/bytes-16                   	    4452	    279638 ns/op	 937.47 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/bytes-16                   	    4342	    273325 ns/op	 959.13 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/bytes-16                   	    4330	    269671 ns/op	 972.12 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/bytes-16                   	    4203	    271878 ns/op	 964.23 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/stdlib/bytes-16                	     163	   6716520 ns/op	  39.03 MB/s	 2004344 B/op	   95334 allocs/op
BenchmarkLexers/strings_plain/stdlib/bytes-16                	     158	   6883569 ns/op	  38.08 MB/s	 2004344 B/op	   95334 allocs/op
BenchmarkLexers/strings_plain/stdlib/bytes-16                	     186	   7321248 ns/op	  35.81 MB/s	 2004345 B/op	   95334 allocs/op
BenchmarkLexers/strings_plain/stdlib/bytes-16                	     189	   6004018 ns/op	  43.66 MB/s	 2004344 B/op	   95334 allocs/op
BenchmarkLexers/strings_plain/stdlib/bytes-16                	     178	   7387832 ns/op	  35.48 MB/s	 2004345 B/op	   95334 allocs/op
BenchmarkLexers/strings_plain/stdlib/bytes-16                	     163	   6934772 ns/op	  37.80 MB/s	 2004345 B/op	   95334 allocs/op
BenchmarkLexers/strings_plain/stdlib/bytes-16                	     196	   6174036 ns/op	  42.46 MB/s	 2004346 B/op	   95334 allocs/op
BenchmarkLexers/strings_plain/stdlib/bytes-16                	     184	   7148515 ns/op	  36.67 MB/s	 2004346 B/op	   95334 allocs/op
BenchmarkLexers/strings_plain/stdlib/bytes-16                	     166	   6543683 ns/op	  40.06 MB/s	 2004346 B/op	   95334 allocs/op
BenchmarkLexers/strings_plain/stdlib/bytes-16                	     219	   7138019 ns/op	  36.73 MB/s	 2004345 B/op	   95334 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4752	    250923 ns/op	1044.75 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4878	    250631 ns/op	1045.97 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4275	    255770 ns/op	1024.96 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4394	    247293 ns/op	1060.09 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4694	    251966 ns/op	1040.43 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4870	    254741 ns/op	1029.10 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4500	    249469 ns/op	1050.84 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4682	    253338 ns/op	1034.80 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4857	    254231 ns/op	1031.16 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4648	    248705 ns/op	1054.07 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/tokens-16                  	    4806	    252109 ns/op	1039.84 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/tokens-16                  	    3902	    259244 ns/op	1011.22 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/tokens-16                  	    4813	    262723 ns/op	 997.83 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/tokens-16                  	    4855	    254976 ns/op	1028.15 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/tokens-16                  	    4557	    254633 ns/op	1029.53 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/tokens-16                  	    4676	    257594 ns/op	1017.70 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/tokens-16                  	    4792	    256172 ns/op	1023.35 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/tokens-16                  	    4732	    252876 ns/op	1036.69 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/lab/tokens-16                  	    4730	    255707 ns/op	1025.21 MB/s	     328 B/op	       2 allocs/op
