goos: linux
goarch: amd64
pkg: github.com/fredbi/core/json/benchmarks/lexers
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4435	    275943 ns/op	 950.03 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4402	    284362 ns/op	 921.90 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4371	    271768 ns/op	 964.62 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4382	    283166 ns/op	 925.79 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4338	    270545 ns/op	 968.98 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4238	    280378 ns/op	 935.00 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4438	    268845 ns/op	 975.11 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    3792	    272345 ns/op	 962.58 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4377	    270611 ns/op	 968.74 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    3873	    276891 ns/op	 946.77 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4525	    254559 ns/op	1029.83 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4484	    256369 ns/op	1022.56 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4780	    260185 ns/op	1007.56 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4663	    251100 ns/op	1044.02 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4840	    252864 ns/op	1036.74 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4860	    247772 ns/op	1058.04 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4825	    263307 ns/op	 995.62 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4879	    254974 ns/op	1028.16 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4845	    250955 ns/op	1044.62 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4762	    248884 ns/op	1053.31 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2521	    442362 ns/op	 592.61 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2718	    452036 ns/op	 579.93 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2654	    458717 ns/op	 571.48 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2688	    452013 ns/op	 579.96 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2695	    443766 ns/op	 590.74 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2704	    448639 ns/op	 584.32 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2666	    455761 ns/op	 575.19 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2665	    447263 ns/op	 586.12 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2644	    448366 ns/op	 584.68 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2667	    463970 ns/op	 565.01 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2881	    433655 ns/op	 604.51 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2727	    449183 ns/op	 583.61 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2587	    421341 ns/op	 622.18 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2880	    415258 ns/op	 631.29 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2954	    419936 ns/op	 624.26 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2923	    434747 ns/op	 602.99 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2935	    426913 ns/op	 614.06 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2884	    429814 ns/op	 609.91 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2864	    411133 ns/op	 637.63 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2868	    416861 ns/op	 628.86 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    3036	    381426 ns/op	 687.75 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    3122	    387984 ns/op	 676.12 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    3142	    413767 ns/op	 633.99 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    2817	    395441 ns/op	 663.37 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    3129	    390371 ns/op	 671.99 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    3051	    401210 ns/op	 653.83 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    3121	    399686 ns/op	 656.33 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    3114	    382270 ns/op	 686.23 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    2655	    384879 ns/op	 681.58 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    3093	    387563 ns/op	 676.86 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    3078	    385166 ns/op	 681.07 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    3078	    390457 ns/op	 671.84 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    3129	    381035 ns/op	 688.45 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    3003	    393651 ns/op	 666.39 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    3111	    386113 ns/op	 679.40 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    3061	    394957 ns/op	 664.19 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    3152	    395001 ns/op	 664.11 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    3180	    393767 ns/op	 666.19 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    3028	    400379 ns/op	 655.19 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/tokens-16 	    3156	    396041 ns/op	 662.37 MB/s	     832 B/op	       8 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    3954	    297972 ns/op	 879.79 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    4058	    303832 ns/op	 862.82 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    4099	    301657 ns/op	 869.04 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    4088	    295644 ns/op	 886.72 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    4083	    304883 ns/op	 859.85 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    4020	    297560 ns/op	 881.01 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    3966	    296289 ns/op	 884.79 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    4068	    300575 ns/op	 872.17 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    4056	    296118 ns/op	 885.30 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/bytes-16       	    3931	    297030 ns/op	 882.58 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4766	    252263 ns/op	1039.20 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4813	    251498 ns/op	1042.37 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4486	    276152 ns/op	 949.31 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4672	    257048 ns/op	1019.86 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4714	    263623 ns/op	 994.43 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4530	    256588 ns/op	1021.69 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4675	    255618 ns/op	1025.56 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4485	    261302 ns/op	1003.26 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4545	    258648 ns/op	1013.55 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_unicode/default-lexer/tokens-16      	    4677	    264897 ns/op	 989.64 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    3955	    295466 ns/op	 887.26 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    3907	    295059 ns/op	 888.49 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    3970	    295738 ns/op	 886.45 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    4015	    303042 ns/op	 865.08 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    3763	    302956 ns/op	 865.33 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    4034	    302908 ns/op	 865.47 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    3963	    299799 ns/op	 874.44 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    3909	    302008 ns/op	 868.04 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    3958	    301744 ns/op	 868.80 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/bytes-16      	    4068	    304539 ns/op	 860.83 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4717	    275943 ns/op	 950.04 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4466	    266798 ns/op	 982.60 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4508	    257605 ns/op	1017.67 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4782	    260945 ns/op	1004.64 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4476	    261744 ns/op	1001.57 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4357	    264801 ns/op	 990.01 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4783	    256724 ns/op	1021.16 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4407	    254923 ns/op	1028.37 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4628	    287665 ns/op	 911.32 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_uescaped/default-lexer/tokens-16     	    4160	    260882 ns/op	1004.88 MB/s	     328 B/op	       2 allocs/op
PASS
ok  	github.com/fredbi/core/json/benchmarks/lexers	179.323s
