goos: linux
goarch: amd64
pkg: github.com/fredbi/core/json/benchmarks/lexers
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4447	    270044 ns/op	 970.78 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4442	    269872 ns/op	 971.40 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4508	    265842 ns/op	 986.12 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4518	    276252 ns/op	 948.96 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4466	    280387 ns/op	 934.97 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4234	    270907 ns/op	 967.68 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4306	    274786 ns/op	 954.03 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4417	    270004 ns/op	 970.92 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4309	    271138 ns/op	 966.86 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/bytes-16         	    4342	    270258 ns/op	 970.01 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4664	    247474 ns/op	1059.31 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4971	    248334 ns/op	1055.65 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4752	    249592 ns/op	1050.33 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4822	    251462 ns/op	1042.52 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4830	    249460 ns/op	1050.88 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4719	    252215 ns/op	1039.40 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4754	    259278 ns/op	1011.09 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4834	    255680 ns/op	1025.32 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4706	    249057 ns/op	1052.58 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_plain/default-lexer/tokens-16        	    4800	    246685 ns/op	1062.70 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2415	    487390 ns/op	 537.86 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2431	    488254 ns/op	 536.91 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2474	    495381 ns/op	 529.19 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2494	    482572 ns/op	 543.23 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2502	    494003 ns/op	 530.66 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2456	    502018 ns/op	 522.19 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2460	    493658 ns/op	 531.03 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2469	    489137 ns/op	 535.94 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2478	    496387 ns/op	 528.11 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/bytes-16       	    2455	    486785 ns/op	 538.53 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2673	    467036 ns/op	 561.30 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2626	    473553 ns/op	 553.58 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2581	    471753 ns/op	 555.69 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2641	    475501 ns/op	 551.31 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2542	    462124 ns/op	 567.27 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2532	    462703 ns/op	 566.56 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2646	    459587 ns/op	 570.40 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2650	    465850 ns/op	 562.73 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2610	    459330 ns/op	 570.72 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped/default-lexer/tokens-16      	    2647	    463345 ns/op	 565.77 MB/s	     384 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    5401	    220404 ns/op	1190.20 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    5010	    221281 ns/op	1185.48 MB/s	     960 B/op	       5 allocs/op
BenchmarkLexers/strings_escaped_long/default-lexer/bytes-16  	    5296	    229806 ns/op	1141.51 MB/s	     960 B/op	       5 allocs/op
