goos: linux
goarch: amd64
pkg: github.com/fredbi/core/json/benchmarks/lexers
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2638	    447566 ns/op	 585.73 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2419	    444774 ns/op	 589.41 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2725	    476601 ns/op	 550.05 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2642	    436584 ns/op	 600.47 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2686	    445791 ns/op	 588.07 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2704	    440956 ns/op	 594.51 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2738	    440106 ns/op	 595.66 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2498	    444797 ns/op	 589.38 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2803	    441341 ns/op	 593.99 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2707	    443852 ns/op	 590.63 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    3048	    388230 ns/op	 675.25 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    2620	    391019 ns/op	 670.44 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    3048	    402953 ns/op	 650.58 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    2836	    385236 ns/op	 680.50 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    3128	    391765 ns/op	 669.16 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    3062	    387320 ns/op	 676.84 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    3156	    388694 ns/op	 674.45 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    3144	    391236 ns/op	 670.07 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    2848	    392785 ns/op	 667.42 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    3087	    386317 ns/op	 678.60 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1177	    937025 ns/op	 279.79 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1116	    960255 ns/op	 273.02 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1275	    932510 ns/op	 281.15 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1314	    935079 ns/op	 280.37 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1128	    932713 ns/op	 281.09 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1080	    945825 ns/op	 277.19 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1120	    965535 ns/op	 271.53 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1274	    972420 ns/op	 269.61 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1285	    948506 ns/op	 276.41 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1111	    930124 ns/op	 281.87 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1644	    739252 ns/op	 354.64 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1400	    736985 ns/op	 355.74 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1653	    764003 ns/op	 343.16 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1387	    805621 ns/op	 325.43 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1460	    729872 ns/op	 359.20 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1370	    744518 ns/op	 352.14 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1416	    744639 ns/op	 352.08 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1402	    731213 ns/op	 358.54 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1392	    718911 ns/op	 364.68 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/tokens-16              	    1410	    736620 ns/op	 355.91 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     430	   2690631 ns/op	 641.93 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     398	   2759291 ns/op	 625.96 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     422	   2759983 ns/op	 625.80 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     366	   2774914 ns/op	 622.44 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     420	   2782163 ns/op	 620.81 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     418	   2811257 ns/op	 614.39 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     438	   2727008 ns/op	 633.37 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     417	   2809277 ns/op	 614.82 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     439	   2776251 ns/op	 622.14 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/bytes-16        	     427	   2751143 ns/op	 627.81 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     606	   1879837 ns/op	 918.81 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     580	   1873758 ns/op	 921.79 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     657	   1885164 ns/op	 916.21 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     610	   1844675 ns/op	 936.32 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     625	   1873979 ns/op	 921.68 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     620	   1863948 ns/op	 926.64 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     642	   1895142 ns/op	 911.38 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     651	   1859207 ns/op	 929.00 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     603	   1879357 ns/op	 919.04 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/citm_catalog/default-lexer/tokens-16       	     651	   1849614 ns/op	 933.82 MB/s	     424 B/op	       4 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1171	    995489 ns/op	 634.38 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1138	    983673 ns/op	 642.00 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1228	   1012062 ns/op	 623.99 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1168	   1000357 ns/op	 631.29 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1051	   1013072 ns/op	 623.37 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1236	    997897 ns/op	 632.84 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1254	    980217 ns/op	 644.26 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1216	    983322 ns/op	 642.22 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1215	   1003720 ns/op	 629.17 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/bytes-16      	    1089	    975383 ns/op	 647.45 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1674	    733422 ns/op	 861.05 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1634	    730446 ns/op	 864.56 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1616	    740290 ns/op	 853.06 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1652	    732259 ns/op	 862.42 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1636	    742971 ns/op	 849.99 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1389	    757716 ns/op	 833.44 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1406	    743173 ns/op	 849.75 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1370	    747375 ns/op	 844.98 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1386	    742287 ns/op	 850.77 MB/s	    1336 B/op	       8 allocs/op
BenchmarkLexers/twitter_status/default-lexer/tokens-16     	    1663	    770897 ns/op	 819.19 MB/s	    1336 B/op	       8 allocs/op
PASS
ok  	github.com/fredbi/core/json/benchmarks/lexers	114.027s
