goos: linux
goarch: amd64
pkg: github.com/fredbi/core/json/benchmarks/lexers
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2467	    445807 ns/op	 588.04 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2232	    468050 ns/op	 560.10 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2709	    435318 ns/op	 602.21 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2683	    440303 ns/op	 595.40 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2750	    433771 ns/op	 604.36 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2754	    436247 ns/op	 600.93 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2732	    442496 ns/op	 592.44 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2757	    434631 ns/op	 603.17 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2793	    446406 ns/op	 587.25 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/bytes-16         	    2791	    426512 ns/op	 614.65 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    3106	    377613 ns/op	 694.24 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    3104	    389994 ns/op	 672.20 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    2944	    377532 ns/op	 694.39 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    3176	    377319 ns/op	 694.78 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    3038	    391009 ns/op	 670.45 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    3096	    393978 ns/op	 665.40 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    2919	    385610 ns/op	 679.84 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    3112	    389257 ns/op	 673.47 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    3157	    381908 ns/op	 686.43 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/object_keys/default-lexer/tokens-16        	    3051	    382074 ns/op	 686.13 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1122	    927247 ns/op	 282.74 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1095	    913445 ns/op	 287.01 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1308	    913997 ns/op	 286.84 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1143	    916211 ns/op	 286.15 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1128	    916375 ns/op	 286.10 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1270	    926130 ns/op	 283.08 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1195	    915926 ns/op	 286.24 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1141	    916175 ns/op	 286.16 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/mixed/default-lexer/bytes-16               	    1141	    903882 ns/op	 290.05 MB/s	     328 B/op	       2 allocs/op
