goos: linux
goarch: amd64
pkg: github.com/fredbi/core/json/benchmarks/lexers
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkLexers/ints/default-lexer/bytes-16         	    2101	    492656 ns/op	 532.12 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2066	    492216 ns/op	 532.60 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2036	    496804 ns/op	 527.68 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2385	    507292 ns/op	 516.77 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2455	    480997 ns/op	 545.02 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2461	    479652 ns/op	 546.55 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2517	    497486 ns/op	 526.95 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2470	    498903 ns/op	 525.46 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2484	    493489 ns/op	 531.22 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/bytes-16         	    2455	    500425 ns/op	 523.86 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2898	    406593 ns/op	 644.75 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2902	    415082 ns/op	 631.57 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2626	    404230 ns/op	 648.52 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2942	    402278 ns/op	 651.67 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2565	    404425 ns/op	 648.21 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2950	    404277 ns/op	 648.45 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2973	    403842 ns/op	 649.14 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2989	    408475 ns/op	 641.78 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2828	    413979 ns/op	 633.25 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/tokens-16        	    2871	    422876 ns/op	 619.93 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/ints/default-lexer/reset-16         	    2504	    486310 ns/op	 539.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/reset-16         	    2422	    487170 ns/op	 538.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/reset-16         	    2450	    493568 ns/op	 531.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/reset-16         	    2203	    494667 ns/op	 529.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/reset-16         	    2444	    500157 ns/op	 524.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/reset-16         	    2184	    528602 ns/op	 495.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/reset-16         	    2461	    506443 ns/op	 517.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/reset-16         	    2481	    489296 ns/op	 535.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/reset-16         	    2480	    487073 ns/op	 538.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/reset-16         	    2408	    509705 ns/op	 514.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/verbatim-reset-16         	     556	   2152851 ns/op	 121.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/verbatim-reset-16         	     531	   2137664 ns/op	 122.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/verbatim-reset-16         	     525	   2129531 ns/op	 123.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/verbatim-reset-16         	     542	   2152684 ns/op	 121.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/verbatim-reset-16         	     568	   2143596 ns/op	 122.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/verbatim-reset-16         	     520	   2148819 ns/op	 122.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/verbatim-reset-16         	     528	   2103645 ns/op	 124.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/verbatim-reset-16         	     568	   2145352 ns/op	 122.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/verbatim-reset-16         	     514	   2122304 ns/op	 123.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/default-lexer/verbatim-reset-16         	     523	   2211943 ns/op	 118.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkLexers/ints/jsontext/bytes-16                       	    3548	    338860 ns/op	 773.63 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/ints/jsontext/bytes-16                       	    3530	    339460 ns/op	 772.26 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/ints/jsontext/bytes-16                       	    3394	    346090 ns/op	 757.47 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/ints/jsontext/bytes-16                       	    3261	    340472 ns/op	 769.97 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/ints/jsontext/bytes-16                       	    3517	    346151 ns/op	 757.34 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/ints/jsontext/bytes-16                       	    3536	    338403 ns/op	 774.67 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/ints/jsontext/bytes-16                       	    3507	    342850 ns/op	 764.63 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/ints/jsontext/bytes-16                       	    2942	    350972 ns/op	 746.93 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/ints/jsontext/bytes-16                       	    3520	    343017 ns/op	 764.25 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/ints/jsontext/bytes-16                       	    3495	    335866 ns/op	 780.53 MB/s	     376 B/op	       3 allocs/op
BenchmarkLexers/floats/default-lexer/bytes-16                	    2060	    579815 ns/op	 452.13 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/bytes-16                	    1957	    573209 ns/op	 457.34 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/bytes-16                	    1845	    576474 ns/op	 454.75 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/bytes-16                	    2061	    580401 ns/op	 451.67 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/bytes-16                	    2103	    580860 ns/op	 451.32 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/bytes-16                	    2025	    579471 ns/op	 452.40 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/bytes-16                	    2113	    573925 ns/op	 456.77 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/bytes-16                	    2120	    573288 ns/op	 457.28 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/bytes-16                	    2127	    583882 ns/op	 448.98 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/bytes-16                	    2070	    566723 ns/op	 462.58 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/tokens-16               	    2421	    487971 ns/op	 537.23 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/tokens-16               	    2310	    495043 ns/op	 529.55 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/tokens-16               	    2094	    478275 ns/op	 548.12 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/tokens-16               	    2528	    500116 ns/op	 524.18 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/tokens-16               	    2468	    484978 ns/op	 540.54 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/tokens-16               	    2454	    493230 ns/op	 531.50 MB/s	     328 B/op	       2 allocs/op
BenchmarkLexers/floats/default-lexer/tokens-16               	    2416	    485340 ns/op	 540.14 MB/s	     328 B/op	       2 allocs/op
